;s;p;o;source;support;pipeline
1128;web ontology language;includes;uml profiles;['heuristic', 'heuristic'];[4.0, 3.0];no
443;web ontology language;uses;uml profiles;['luanyi'];[1];yes
1331;web ontology language;improves;understandability;['heuristic'];[3.0];no
999;web ontology language;defines;vocabulary;['heuristic'];[5.0];no
422;web ontology language;is;vocabulary;['luanyi'];[2];yes
806;web ontology language;proposes;vocabulary;['heuristic'];[8.0];no
384;web ontology language;provides;vocabulary;['openie'];[1];yes
1332;web ontology language;selects;web contents;['heuristic'];[3.0];no
260;web ontology language;uses;web of data;['luanyi'];[1];yes
1129;web ontology language;supports;wiki;['heuristic'];[4.0];no
1130;web ontology language;supports;xml data;['heuristic'];[4.0];no
807;web ontology language;converts;xml schemas;['heuristic'];[8.0];no
1333;web searches;proposes;resource description framework (rdf);['heuristic'];[3.0];no
544;web searches;uses;resource description framework (rdf);['luanyi'];[1];yes
88;web searches;uses;semantic search engines;['luanyi'];[3];yes
349;web service composition;uses;ontology alignment;['luanyi'];[1];yes
539;web service composition;uses;semantic web services;['luanyi'];[1];yes
1334;web service description;lacks;semantic web services;['heuristic'];[3.0];no
299;web service description;uses;semantic web services;['luanyi'];[6];yes
907;web services discovery;base;ontology alignment;['heuristic'];[6.0];no
45;web services discovery;uses;semantic description;['luanyi'];[1];yes
908;web services discovery;combines;semantic search engines;['heuristic'];[6.0];no
183;web services discovery;uses;semantic web services;['heuristic', 'luanyi', 'luanyi'];[29, 3, 1];yes
252;web-mining;uses;semantic search engines;['luanyi'];[1];yes
474;web-searching;uses;semantic search engines;['luanyi'];[1];yes
160;wiki;is;linked data;['luanyi'];[1];yes
681;wiki;uses;resource description framework (rdf);['heuristic'];[1];yes
597;wiki;provides;semantic search engines;['openie'];[1];yes
909;wiki;uses;semantic search engines;['heuristic'];[6.0];no
706;wireless sensor networks (wsn);uses;web ontology language;['heuristic'];[2];yes
1131;wordnet;produces;ontology alignment;['heuristic'];[4.0];no
1335;wordnet;converts;web ontology language;['heuristic'];[3.0];no
65;wordnet;is;web ontology language;['luanyi'];[2];yes
847;world wide web;improves;linked data;['heuristic'];[7.0];no
910;world wide web;converts;resource description framework (rdf);['heuristic'];[6.0];no
237;world wide web;is;semantic search engine;['luanyi'];[1];yes
1000;world wide web;recommends;web ontology language;['heuristic'];[5.0];no
423;xacml;is;web ontology language;['luanyi'];[1];yes
911;xml schemas;is;web ontology language;['heuristic'];[6.0];no
629;xml technology;uses;semantic search engines;['heuristic'];[1];yes
1336;xpath;provides;resource description framework (rdf);['heuristic'];[3.0];no
1337;xquery;provides;resource description framework (rdf);['heuristic'];[3.0];no
