;s;p;o;source;support;pipeline
327;linked open data;links;linked data;['heuristic'];[29];yes
29;linked open data;includes;resource description framework (rdf);['heuristic'];[9];yes
1032;linked open data;publishes;resource description framework (rdf);['heuristic'];[6.0];no
184;linked open data;supports;semantic search engines;['openie'];[2];yes
747;logic programming;is;web ontology language;['luanyi'];[1];yes
886;logistics;uses;semantic search engine;['heuristic'];[1];yes
263;logistics;uses;semantic web services;['heuristic'];[11];yes
898;machine learning techniques;uses;linked data;['heuristic'];[2];yes
1033;machine learning techniques;improves;ontology alignment;['heuristic'];[6.0];no
1375;machine learning techniques;requires;ontology alignment;['heuristic'];[3.0];no
847;machining;uses;web ontology language;['heuristic'];[1];yes
114;manets;includes;semantic descriptions;['luanyi'];[2];yes
1376;map-reduce;requires;resource description framework (rdf);['heuristic'];[3.0];no
1214;mashup;publishes;linked data;['heuristic'];[4.0];no
360;mashup;selects;semantic web services;['openie'];[1];yes
755;mass customization;uses;semantic description;['luanyi'];[1];yes
936;matching algorithm;proposes;ontology alignment;['heuristic'];[2];yes
1114;matching algorithm;base;semantic web services;['heuristic'];[5.0];no
831;microdata;uses;linked data;['heuristic'];[1];yes
857;mobile applications;uses;linked data;['heuristic'];[2];yes
841;mobile applications;uses;semantic description;['heuristic'];[1];yes
1377;mobile devices;proposes;web ontology language;['heuristic'];[3.0];no
201;mobile services;uses;linked data;['luanyi'];[1];yes
153;model transformations;uses;ontology alignment;['luanyi'];[1];yes
